breakfast,Calories Day,caloriesday,Coffee,Comfort Food Reasons,comfortfoodreasons,cook per week,Cuisine,cusinelabel,Diet Current,dietcurrrent,eatingout,employment,Employment,exercise,Exercise,favcomfortfood,Fruit Day,gender,GPA,Healthy Feeling (copy),Life Rewarding (copy),martialstatus,nutritionalcheck,parentscooking,participate,paymealsout,self,Veggies Day,vitamin intake,Weight (copy),Breakfast,Coffee (copy),Comfort Food Reasons Coded,Cook,Diet Current Coded,Eating Out,Fav Food,Gender,GPA (copy),Healthy Feeling,Life Rewarding,Marital Status,Nutritional Check,Parents Cook,Pay Meal Out,Self Perception Weight,Sports,Vitamins,Weight
Cereal,3,Maybe,2,"Stress, bored, anger",Boredom,NotOften,1,American,I eat about three times a day with some snacks. I try to eat healthy but it doesn't always work out that- sometimes eat fast food and mainly eat at Laker/ Egan,SamethingOver,1-2Times,Part time,2,Every day,1,Healthy,4,Male,3.654,5,1,Relationship,MostProducts,1-2times,Yes,$20-$30,JustRight,4,No,150 - 170,1,2,1,3,2,2,1,1,3.654,5,1,2,4,1,4,3,1,2,155
Cereal,4,NotImp,2,"stress, sadness",Boredom,Everyday,3,Mexican/Spanish,"toast and fruit for breakfast, salad for lunch, usually grilled chicken and veggies (or some variation) for dinner",Unhealthy,1-2Times,no,3,2-3 times,2,Both,5,Male,3.3,6,7,Relationship,MostProducts,1-2times,No,$10-$20,,5,Yes,Other,1,2,1,1,3,2,3,1,3.3,6,7,2,4,1,3,6,2,1,
Cereal,3,Maybe,2,Boredom,Stress,Weekends,2,Indian,"College diet, cheap and easy foods most nights. Weekends traditionally, cook better homemade meals  ",SamethingOver,1-2Times,no,3,once week,3,Healthy,4,Male,3.2,7,2,Relationship,,1-2times,No,$5-$10,Veryfit,3,Yes,Other,1,2,2,2,2,2,1,1,3.2,7,2,2,2,1,2,5,2,1,
Cereal,2,VeryImp,2,"Stress, boredom, cravings ",Boredom,Everyday,2,Indian,I try to eat healthy but often struggle because of living on campus. I still try to keep the choices I do make balanced with fruits and vegetables and limit the sweats.,SamethingOver,1-2Times,Part time,2,Every day,1,Both,4,Male,3.5,6,1,single,CertainProducts,1-2times,Yes,$20-$30,Slim,4,No,190 - 210,1,2,1,1,2,2,3,1,3.5,6,1,1,3,1,4,4,1,2,190
Cereal,3,Maybe,2,"stress, boredom",Boredom,Weekends,1,American,"I eat a lot of chicken and broccoli for dinner, and usually tuna sandwiches for lunch.",Unhealthy,1-2Times,no,3,Every day,1,Healthy,4,Female,3.8,4,8,single,MostProducts,2-3times,Yes,$5-$10,Slim,4,Yes,170 - 190,1,2,1,2,3,2,1,2,3.8,4,8,1,4,2,2,4,1,1,180
Cereal,3,Maybe,1,"I eat comfort food when im stressed out from school(finals week), when I`m sad, or when i am dealing with personal family issues.",Boredom,NotOften,1,American,"I eat a very healthy diet. Ocassionally, i will eat out and get unhealthy food.",Healthy,1-2Times,Part time,2,2-3 times,2,Healthy,5,Male,3.3,3,3,single,MostProducts,1-2times,No,$30-$40,JustRight,4,No,130 - 150,1,1,1,3,1,2,1,1,3.3,3,3,1,4,1,5,3,2,2,137
Cereal,nan,,1,Boredom,Stress,NotOften,1,American,I eat whatever I want in moderation.,Healthy,Everyday,Part time,2,once week,nan,Both,4,Male,3.3,7,8,Relationship,,2-3times,No,$10-$20,Slim,3,No,170 - 190,1,1,2,3,1,5,3,1,3.3,7,8,2,2,2,3,4,2,2,180
Cereal,3,Maybe,2,"Stress, anger and sadness ",Boredom,NotOften,1,American,"I eat healthy all the time when possible. I treat myself occasionally. I don't really like the greasy meals, if anything I would eat sweets over the greasy meals.  ",Healthy,2-3Times,no,3,Every day,1,Healthy,5,Male,3.3,3,3,Relationship,Everything,Everyday,Yes,$10-$20,JustRight,5,Yes,110 - 130,1,2,1,3,1,3,1,1,3.3,3,3,2,5,3,3,3,1,1,125
Cereal,3,Maybe,2,Boredom,Stress,Everyday,1,American,i eat very healthy. Maybe eat out 1-2 times a week.,Healthy,1-2Times,FullTime,1,Every day,1,Healthy,5,Male,3.5,9,8,single,,1-2times,Yes,$5-$10,Overweight,5,No,110 - 130,1,2,2,1,1,2,1,1,3.5,9,8,1,2,1,2,1,1,2,116
Cereal,4,NotImp,2,"sadness, stress, cold weather",Sadness,NotOften,1,American,"I am very health concious. I eat many fruits, veggies, and protiens. ",Healthy,Never,Part time,2,Every day,1,Healthy,5,Male,3.904,1,1,Relationship,Everything,1-2times,Yes,$10-$20,SlightlyOverweight,5,Yes,110 - 130,1,2,3,3,1,1,1,1,3.904,1,1,2,5,1,3,2,1,1,110
Cereal,3,Maybe,2,"Sadness, boredom, late night snack ",Sadness,Never,1,American,I focus mostly on proteins and fruits. I eat a lot less vegetables and a few carbohydrates.,Healthy,Never,no,3,once week,3,Both,4,Female,3.4,9,9,Relationship,,2-3times,Yes,$5-$10,Veryfit,3,No,250 - 270,1,2,3,5,1,1,3,2,3.4,9,9,2,2,2,2,5,1,2,264
Cereal,3,Maybe,2,"stress,  boredom, special occasions",Boredom,Weekends,1,American,Not as healthy when I am at school compared to home. Still very aware of the nutrition I am taking in.,SamethingOver,3-5Times,Part time,2,2-3 times,2,Healthy,5,Male,3.6,8,10,Relationship,,2-3times,Yes,$10-$20,JustRight,5,No,110 - 130,1,2,1,2,2,4,1,1,3.6,8,10,2,2,2,3,3,1,2,123
Cereal,3,Maybe,2,"Friends, environment and boredom",Stress,NotOften,1,American,"Making sure I have enough protein intake, as well with fibre, vitamins and carbs. ",Healthy,1-2Times,no,3,2-3 times,2,Both,5,Female,3.1,2,1,single,,2-3times,Yes,$10-$20,JustRight,5,Yes,170 - 190,1,2,2,3,1,2,3,2,3.1,2,1,1,2,2,3,3,1,1,185
Donut,nan,,2,boredom,Stress,CoupleOfTimes,1,American,I like a lot of foods that arent home cooked or healthy for you.,SamethingOver,3-5Times,no,3,Every day,1,StoreBought,3,Female,,6,,Relationship,Never,2-3times,Yes,$10-$20,SlightlyOverweight,1,No,170 - 190,2,2,2,4,2,4,2,2,,6,,2,1,2,3,2,1,2,180
Cereal,3,Maybe,2,"I usually only eat comfort food when I'm bored, if i am doing something, i can go for hours without eating ",Stress,NotOften,1,American,My current diet is eggs and a meat every morning for breakfast. For lunch ill usually have some pasta or rice with a meat and sometimes a side of veggies. for dinner i usually eat less carbs and more protein and veggies.,Unhealthy,1-2Times,no,3,Every day,1,Both,3,Female,3.6,8,7,Relationship,MostProducts,1-2times,Yes,>$40,SlightlyOverweight,4,No,170 - 190,1,2,2,3,3,2,3,2,3.6,8,7,2,4,1,6,2,1,2,170
Cereal,3,Maybe,1,"Sadness, stress",Sadness,NotOften,1,American,I eat lots of fruit and veggies. I eat lots of chicken.,Healthy,2-3Times,Part time,2,once week,3,Both,5,Male,3.4,6,9,Relationship,,1-2times,No,$5-$10,JustRight,5,Yes,130 - 150,1,1,3,3,1,3,3,1,3.4,6,9,2,2,1,2,3,2,1,135
Cereal,2,VeryImp,2,"boredom, sadness, hungry",Stress,CoupleOfTimes,1,American,Current diet right now isn't very good. I eat at the school's cafeteria and they do not have the best choices.,SamethingOver,1-2Times,no,3,2-3 times,2,Healthy,2,Female,2.2,4,7,single,Never,1-2times,No,$10-$20,Slim,2,No,150 - 170,1,2,2,4,2,2,1,2,2.2,4,7,1,1,1,3,4,,2,165
Cereal,3,Maybe,2,"happiness, satisfaction",Other,Never,1,American,"I eat 2 meals a day, lunch and dinner",SamethingOver,3-5Times,Part time,2,Every day,1,Both,2,Female,3.3,5,2,single,,1-2times,Yes,$5-$10,,3,No,170 - 190,1,2,7,5,2,4,3,2,3.3,5,2,1,2,1,2,6,1,2,175
Cereal,3,Maybe,1,Mostly boredom,Stress,NotOften,3,Mexican/Spanish,"Random. Not strict diet, changes during season",SamethingOver,Never,Part time,2,Every day,1,StoreBought,3,Female,3.87,8,7,Relationship,MostProducts,Everyday,Yes,$30-$40,SlightlyOverweight,2,No,190 - 210,1,1,2,3,2,1,2,2,3.87,8,7,2,4,3,5,2,1,2,195
Cereal,3,Maybe,1,"sadness, depression ",Sadness,Never,2,Indian,balanced,Healthy,Never,Part time,2,Every day,1,Healthy,4,Female,3.7,2,5,single,CertainProducts,Everyday,Yes,$30-$40,SlightlyOverweight,3,Yes,170 - 190,1,1,3,5,1,1,1,2,3.7,2,5,1,3,3,5,2,1,1,185
Donut,3,Maybe,2,Stress and boredom,Boredom,CoupleOfTimes,1,American,2 meals a day. Rarely eat snacks. Fairly balanced diet.,Healthy,1-2Times,Part time,2,once week,3,Healthy,3,Female,3.7,4,5,single,,2-3times,Yes,$10-$20,JustRight,4,Yes,170 - 190,2,2,1,4,1,2,1,2,3.7,4,5,1,2,2,3,3,1,1,185
Cereal,2,VeryImp,2,"A long day, not feeling well, winter ",None,Everyday,1,American,I eat a lot of chicken and try to cook my own meals as much as possible using a lot of rice and vegetables.,Healthy,3-5Times,no,3,once week,nan,Healthy,4,Male,3.9,5,2,Relationship,,1-2times,No,$10-$20,Slim,4,No,90 - 110,1,2,6,1,1,4,1,1,3.9,5,2,2,2,1,3,4,2,2,105
Donut,3,Maybe,2,boredom,Stress,NotOften,1,American,"vegetarian, eat breakfast some days before class, can eat a lot of junk food so I refrain from allowing myself to buy any",Healthy,1-2Times,no,3,Every day,1,Both,4,Male,2.8,8,5,single,MostProducts,1-2times,Yes,$10-$20,JustRight,3,No,110 - 130,2,2,2,3,1,2,3,1,2.8,8,5,1,4,1,3,3,1,2,125
Cereal,2,VeryImp,1,"Boredom, lazyniss ",Stress,NotOften,1,American,"Most healthy diet, but since I'm an athlete have room for some bad foods to burn off quickly ",Healthy,1-2Times,Part time,2,Every day,1,Healthy,3,Female,3.7,9,9,Relationship,,1-2times,Yes,$20-$30,SlightlyOverweight,3,No,150 - 170,1,1,2,3,1,2,1,2,3.7,9,9,2,2,1,4,2,1,2,160
Cereal,4,NotImp,2,Boredom,Stress,CoupleOfTimes,1,American,Very healthy. Good balance of proteins and vegetables,Healthy,1-2Times,no,3,Every day,1,Healthy,5,Female,3,9,9,Relationship,MostProducts,1-2times,Yes,>$40,SlightlyOverweight,5,Yes,170 - 190,1,2,2,4,1,2,1,2,3,9,9,2,4,1,6,2,1,1,175
Cereal,2,VeryImp,2,"survival, bored",Stress,Weekends,2,Indian,Whats necessary for survival.,SamethingOver,1-2Times,Part time,2,2-3 times,2,Healthy,3,Female,3.2,4,3,single,Everything,1-2times,No,$10-$20,JustRight,2,Yes,170 - 190,1,2,2,2,2,2,1,2,3.2,4,3,1,5,1,3,3,2,1,180
Cereal,3,Maybe,2,"stress, boredom, cold weather",Boredom,NotOften,1,American,I eat some vegetables almost everyday and fruit a couple of times a week. I eat meat a few times a week. I dont eat fast food and try to limit fried food.,Healthy,2-3Times,Part time,2,2-3 times,2,StoreBought,3,Male,4,7,8,Relationship,MostProducts,Everyday,Yes,$10-$20,JustRight,5,Yes,110 - 130,1,2,1,3,1,3,2,1,4,7,8,2,4,3,3,3,1,1,115
Cereal,3,Maybe,2,"stres, boredom, and nighttime",Boredom,Weekends,1,American,"Diet consists of 3000-4000 calories a day well rounded from meats, vegetables, and fruit.",SamethingOver,1-2Times,no,3,2-3 times,2,Healthy,5,Female,4,5,3,single,MostProducts,1-2times,No,$10-$20,Slim,5,Yes,190 - 210,1,2,1,2,2,2,1,2,4,5,3,1,4,1,3,4,2,1,205
Cereal,3,Maybe,1,"boredom, sadness, and if it has a good taste. ",Stress,CoupleOfTimes,2,Indian,I eat a a lot of carbs from pizza and pasta. I also eat a lot of cookies.,SamethingOver,1-2Times,no,3,once week,3,Healthy,3,Male,2.8,7,3,single,MostProducts,1-2times,No,$10-$20,JustRight,3,Yes,110 - 130,1,1,2,4,2,2,1,1,2.8,7,3,1,4,1,3,3,2,1,128
Cereal,3,Maybe,2,"boredom, stressed, sad",Stress,CoupleOfTimes,1,American,egan dining,SamethingOver,2-3Times,no,3,Every day,1,Both,5,Male,3.65,1,3,single,MostProducts,,Yes,$20-$30,SlightlyOverweight,4,Yes,150 - 170,1,2,2,4,2,3,3,1,3.65,1,3,1,4,5,4,2,1,1,150
Cereal,2,VeryImp,2,Boredom usually,Stress,Everyday,1,American,"A lot of rice and veggies, eggs for breakfast, chicken is usually the only kind of meat I eat.",Unhealthy,1-2Times,no,3,Every day,1,Healthy,5,Male,3,2,3,Relationship,,1-2times,Yes,$10-$20,SlightlyOverweight,5,No,150 - 170,1,2,2,1,3,2,1,1,3,2,3,2,2,1,3,2,1,2,150
Cereal,4,NotImp,2,Stress,Boredom,Weekends,6,,"I do not get to eat as well as I did.  I wish I ate better, but in college it is hard because of money.",SamethingOver,1-2Times,Part time,2,once week,3,Healthy,3,Male,3.4,4,2,Relationship,MostProducts,1-2times,Yes,$20-$30,Slim,4,No,170 - 190,1,2,1,2,2,2,1,1,3.4,4,2,2,4,1,4,4,1,2,170
Cereal,3,Maybe,2,"boredom, stress",Stress,NotOften,1,American,I eat three meals per day usually. I eat a lot of sandwiches and fruit.,Healthy,1-2Times,no,3,2-3 times,2,Healthy,4,Male,3.89,6,8,Relationship,MostProducts,1-2times,Yes,$10-$20,Slim,3,No,150 - 170,1,2,2,3,1,2,1,1,3.89,6,8,2,4,1,3,4,1,2,150
Cereal,nan,,2,No reasons,Other,Never,1,American,Unhealthy foods from the cafe,SamethingOver,Everyday,no,3,Every day,1,Healthy,5,Female,3,3,5,Relationship,Never,Everyday,Yes,$10-$20,Overweight,3,No,170 - 190,1,2,9,5,2,5,1,2,3,3,5,2,1,3,3,1,1,2,175
Cereal,3,Maybe,1,Usually if I'm sad or depressed.,Sadness,NotOften,1,American,"I will eat a full bleakest every morning consisting of eggs, potatoes, and a type of meat with juice. I will have a sandwich or something light for lunch. For dinner I will have meat and vegetables of some sort.  ",Unhealthy,1-2Times,no,3,Every day,1,Healthy,3,Female,3.4,10,8,single,CertainProducts,1-2times,Yes,$10-$20,SlightlyOverweight,4,No,130 - 150,1,1,3,3,3,2,1,2,3.4,10,8,1,3,1,3,2,1,2,140
Cereal,4,NotImp,2,Tired,Laziness,Weekends,1,American,I eat food,Unknown,3-5Times,Part time,2,Every day,1,Healthy,5,Male,2.9,6,4,single,MostProducts,1-2times,No,$10-$20,,5,Yes,110 - 130,1,2,5,2,4,4,1,1,2.9,6,4,1,4,1,3,6,2,1,120
Cereal,3,Maybe,2,"Boredom!, sadness",Stress,CoupleOfTimes,1,American,"Light breakfast, yogurt or grandola bar. No luch but (healthy) snacks throughout this time period until dinner. Full dinner with meat, vegetables and fruit.",SamethingOver,1-2Times,Part time,2,once week,nan,Healthy,5,Male,3.6,6,7,single,Never,2-3times,No,$10-$20,JustRight,4,No,130 - 150,1,2,2,4,2,2,1,1,3.6,6,7,1,1,2,3,3,2,2,135
Cereal,2,VeryImp,1,"All of the above; sadness, boredom and confusion ",Sadness,NotOften,1,American,"It needs some re-structuring. Mostly, I eat well but I would like to improve on my water, fruit and veggie consumption. ",SamethingOver,Never,no,nan,once week,nan,Both,4,Male,3.5,6,8,Relationship,CertainProducts,1-2times,No,$5-$10,,4,Yes,90 - 110,1,1,3,3,2,1,3,1,3.5,6,8,2,3,1,2,,2,1,100
Cereal,4,NotImp,2,"Stress, boredom, craving",Boredom,Everyday,1,American,"I am on a very balanced diet, eating 4-5 small meals a day filled with fruits, vegetables, lean meat, and good carbs. ",Healthy,1-2Times,Part time,2,Every day,1,Healthy,5,Male,3.2,8,10,single,MostProducts,1-2times,Yes,>$40,JustRight,5,Yes,170 - 190,1,2,1,1,1,2,1,1,3.2,8,10,1,4,1,6,3,1,1,170
Cereal,3,Maybe,2,"Hunger, boredom",Hunger,NotOften,1,American,"Healthy, includes many fruits and vegetables. Probably too many carbs. ",Healthy,1-2Times,Part time,2,once week,nan,Healthy,5,Male,3.605,3,3,Relationship,,2-3times,No,$20-$30,Overweight,5,No,110 - 130,1,2,4,3,1,2,1,1,3.605,3,3,2,2,2,4,1,2,2,113
Cereal,2,VeryImp,1,"sadness, boredom, & anger ",Sadness,NotOften,1,American,At school I eat a lot of pizza or burgers with fries. Occasionally I try to have a salad or a fruit juice with this. I also try to eat more of a home cooked meal with vegetables.,SamethingOver,1-2Times,Part time,2,2-3 times,2,Healthy,4,Female,3.8,4,4,single,CertainProducts,2-3times,Yes,$10-$20,JustRight,4,No,150 - 170,1,1,3,3,2,2,1,2,3.8,4,4,1,3,2,3,3,1,2,168
Cereal,nan,,2,"Boredom, happiness, distraught ",Stress,CoupleOfTimes,1,American,lots of pasta and carbs along with lean meats. Also at time some soda and junk food,SamethingOver,1-2Times,no,nan,Every day,1,Both,5,Female,2.8,8,9,single,,1-2times,Yes,$10-$20,SlightlyOverweight,5,No,130 - 150,1,2,2,4,2,2,3,2,2.8,8,9,1,2,1,3,2,1,2,145
Donut,nan,,1,"stressed, upset, or just craving a cheat meal",Boredom,CoupleOfTimes,1,American,"My current diet consists of cafeteria food, which isn't necessarily ideal. I try to eat as healthy as possible but I find myself turning to unhealthy food more often than healthy.",SamethingOver,1-2Times,no,3,Every day,1,Healthy,5,Female,3.5,2,3,single,CertainProducts,1-2times,Yes,$10-$20,Overweight,5,Yes,150 - 170,2,1,1,4,2,2,1,2,3.5,2,3,1,3,1,3,1,1,1,155
Cereal,3,Maybe,2,They taste better than other food. They are a pickme up. They are easy to make,Laziness,NotOften,2,Indian,I eat alot carbs. Protein (meat) is beautiful.,SamethingOver,1-2Times,no,nan,2-3 times,2,Healthy,3,Female,3.83,9,9,Relationship,,2-3times,No,>$40,Overweight,3,No,150 - 170,1,2,5,3,2,2,1,2,3.83,9,9,2,2,2,6,1,2,2,150
Cereal,3,Maybe,2,"Stress, boredom",Boredom,Never,1,American,Healthier than most but not 100% clean.,Healthy,1-2Times,no,3,Every day,1,StoreBought,4,Female,3.6,8,8,single,Everything,1-2times,No,$10-$20,JustRight,5,No,150 - 170,1,2,1,5,1,2,2,2,3.6,8,8,1,5,1,3,3,2,2,169
Cereal,4,NotImp,1,Lazy,Laziness,NotOften,1,American,Great,Unknown,2-3Times,no,3,Every day,1,Healthy,5,Female,3.3,8,8,single,Everything,1-2times,Yes,$10-$20,SlightlyOverweight,4,Yes,170 - 190,1,1,5,3,4,3,1,2,3.3,8,8,1,5,1,3,2,1,1,185
Cereal,4,NotImp,2,"Boredom, sadness and anger ",Stress,Everyday,1,American,My diet is mostly chicken rice and veggies. I mix in fruit between workouts and snacks like power bars and what not.,Unhealthy,Everyday,no,nan,Every day,1,Healthy,5,Female,3.3,1,5,single,Everything,1-2times,Yes,$10-$20,SlightlyOverweight,5,No,190 - 210,1,2,2,1,3,5,1,2,3.3,1,5,1,5,1,3,2,1,2,200
Cereal,nan,,2,"Boredom, sadness",Stress,CoupleOfTimes,1,American,65 and out,Unknown,2-3Times,no,nan,once week,nan,Both,4,Female,3.292,5,1,single,Never,1-2times,No,$10-$20,Slim,4,Yes,250 - 270,1,2,2,4,4,3,3,2,3.292,5,1,1,1,1,3,4,2,1,265
Cereal,3,Maybe,2,"stress, anger and boredom",Boredom,Everyday,2,Indian,Very healthy and clean. A lot of protein and vegetables,Healthy,2-3Times,no,3,Every day,1,Healthy,5,Female,3.5,10,10,single,MostProducts,1-2times,Yes,>$40,SlightlyOverweight,5,Yes,150 - 170,1,2,1,1,1,3,1,2,3.5,10,10,1,4,1,6,2,1,1,165
Cereal,4,NotImp,2,I usually only eat comfort foods when I am bored. I will also eat them when I am happy to celebrate and then when I am sad to comfort me.,Stress,NotOften,1,American,I usually eat very healthy. I incorporate fresh fruits and vegetables into every meal.,Healthy,3-5Times,no,3,Every day,1,Healthy,5,Female,3.8,1,1,single,MostProducts,1-2times,Yes,$20-$30,SlightlyOverweight,5,Yes,170 - 190,1,2,2,3,1,4,1,2,3.8,1,1,1,4,1,4,2,1,1,175
Cereal,4,NotImp,2,Just cause,Other,Weekends,1,American,I eat very heathy on a daily basis,Healthy,2-3Times,Part time,2,Every day,1,Both,4,Male,2.8,9,10,single,Everything,1-2times,Yes,$10-$20,SlightlyOverweight,4,Yes,130 - 150,1,2,9,2,1,3,3,1,2.8,9,10,1,5,1,3,2,1,1,140
Cereal,3,Maybe,2,"Stress, boredom, sadness",Boredom,Everyday,2,Indian,"For breakfast I have oatmeal. For lunch I have a sandwich and fruit. For dinner I usually have a piece of meat, rice or pasta, and a vegetable. ",Unhealthy,1-2Times,Part time,2,2-3 times,2,Healthy,5,Male,3.5,4,1,single,,1-2times,Yes,$20-$30,JustRight,5,Yes,150 - 170,1,2,1,1,3,2,1,1,3.5,4,1,1,2,1,4,3,1,1,155
